"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Kpna3"	"Kpna3"	0.992201463474219	-0.992201463474219	"S01"	0.992201463474219	"IS01"
"Pdia3"	"Pdia3"	0.991978312956027	-0.991978312956027	"S01"	0.991978312956027	"IS01"
"Pkig"	"Pkig"	0.99159453392098	-0.99159453392098	"S01"	0.99159453392098	"IS01"
"Rap1gds1"	"Rap1gds1"	0.990438592326031	-0.990438592326031	"S01"	0.990438592326031	"IS01"
"Rp2"	"Rp2"	0.989826198884801	-0.989826198884801	"S01"	0.989826198884801	"IS01"
"Axl"	"Axl"	0.988001189384025	-0.988001189384025	"S01"	0.988001189384025	"IS01"
"Elf4"	"Elf4"	0.986648501767182	-0.986648501767182	"S01"	0.986648501767182	"IS01"
"Gpr160"	"Gpr160"	0.984102657731791	-0.984102657731791	"S01"	0.984102657731791	"IS01"
"Vcam1"	"Vcam1"	0.983927286988164	-0.983927286988164	"S01"	0.983927286988164	"IS01"
"Tcf4"	"Tcf4"	0.983298751376427	-0.983298751376427	"S01"	0.983298751376427	"IS01"
"Afg1l"	"Afg1l"	0.980419282829242	-0.980419282829242	"S01"	0.980419282829242	"IS01"
"Adgrl3"	"Adgrl3"	0.980192281407053	-0.980192281407053	"S01"	0.980192281407053	"IS01"
"Kansl1l"	"Kansl1l"	0.979813067494556	-0.979813067494556	"S01"	0.979813067494556	"IS01"
"Kdm6a"	"Kdm6a"	0.977548519934157	-0.977548519934157	"S01"	0.977548519934157	"IS01"
"Itga9"	"Itga9"	0.977225852697619	-0.977225852697619	"S01"	0.977225852697619	"IS01"
"Camk2d"	"Camk2d"	0.976835943248368	-0.976835943248368	"S01"	0.976835943248368	"IS01"
"Abi1"	"Abi1"	0.97602503687702	-0.97602503687702	"S01"	0.97602503687702	"IS01"
"Ly86"	"Ly86"	0.974345530865494	-0.974345530865494	"S01"	0.974345530865494	"IS01"
"Avl9"	"Avl9"	0.973639592954955	-0.973639592954955	"S01"	0.973639592954955	"IS01"
"Shtn1"	"Shtn1"	0.972551859012256	-0.972551859012256	"S01"	0.972551859012256	"IS01"
"Adap2"	"Adap2"	0.972401690363797	-0.972401690363797	"S01"	0.972401690363797	"IS01"
"Ppm1h"	"Ppm1h"	0.97017667779548	-0.97017667779548	"S01"	0.97017667779548	"IS01"
"Atxn7"	"Atxn7"	0.967127382755945	-0.967127382755945	"S01"	0.967127382755945	"IS01"
"A930015D03Rik"	"A930015D03Rik"	0.965970870107484	-0.965970870107484	"S01"	0.965970870107484	"IS01"
"Cd74"	"Cd74"	0.96585874396538	-0.96585874396538	"S01"	0.96585874396538	"IS01"
"Atp7a"	"Atp7a"	0.965514219145556	-0.965514219145556	"S01"	0.965514219145556	"IS01"
"Ms4a7"	"Ms4a7"	0.963543679515851	-0.963543679515851	"S01"	0.963543679515851	"IS01"
"Gm37510"	"Gm37510"	0.962939272116043	-0.962939272116043	"S01"	0.962939272116043	"IS01"
"Plek"	"Plek"	0.962368672985169	-0.962368672985169	"S01"	0.962368672985169	"IS01"
"Lamp2"	"Lamp2"	0.961674094204096	-0.961674094204096	"S01"	0.961674094204096	"IS01"
"Syncrip"	"Syncrip"	0.961461384375672	-0.961461384375672	"S01"	0.961461384375672	"IS01"
"Hsd17b12"	"Hsd17b12"	0.960722161410723	-0.960722161410723	"S01"	0.960722161410723	"IS01"
"Wtap"	"Wtap"	0.959094699257146	-0.959094699257146	"S01"	0.959094699257146	"IS01"
"Slc7a7"	"Slc7a7"	0.955259490616095	-0.955259490616095	"S01"	0.955259490616095	"IS01"
"Vps41"	"Vps41"	0.954614232001564	-0.954614232001564	"S01"	0.954614232001564	"IS01"
"Tmem104"	"Tmem104"	0.953466892705273	-0.953466892705273	"S01"	0.953466892705273	"IS01"
"Wdr20"	"Wdr20"	0.953235517250098	-0.953235517250098	"S01"	0.953235517250098	"IS01"
"Arhgap25"	"Arhgap25"	0.953207367322316	-0.953207367322316	"S01"	0.953207367322316	"IS01"
"Litaf"	"Litaf"	0.95233195508032	-0.95233195508032	"S01"	0.95233195508032	"IS01"
"Ctsh"	"Ctsh"	0.951897056452707	-0.951897056452707	"S01"	0.951897056452707	"IS01"
