"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"P2ry10"	"P2ry10"	-0.483081490957921	-0.557891771643815	0.410179631432408	0.495525141172462	"S01"	0.495525141172462	"IS04"
"Rabgef1"	"Rabgef1"	-0.272383955485008	0.32786443869584	-0.354526403621496	0.4908082747437	"S01"	0.4908082747437	"IS04"
"Gm16048"	"Gm16048"	-0.164486752586441	-0.136215591985646	-0.164486752586441	0.484322104837853	"S01"	0.484322104837853	"IS04"
"Gm16170"	"Gm16170"	-0.288135556056817	-0.238612257359551	0.0258910164939646	0.481734010899667	"S01"	0.481734010899667	"IS04"
"Gm10634"	"Gm10634"	-0.288532639995614	-0.238941092496368	0.0333523095518809	0.47372756882004	"S01"	0.47372756882004	"IS04"
"Gm16201"	"Gm16201"	-0.30995330457782	0.201323909358777	-0.220152866798423	0.470864617356417	"S01"	0.470864617356417	"IS04"
"Crebl2"	"Crebl2"	-0.612241423135204	-0.0775962119973268	0.264481261717814	0.463135562817764	"S01"	0.463135562817764	"IS04"
"A430018G15Rik"	"A430018G15Rik"	-0.288446477214054	-0.238869738942889	0.0426652869450652	0.462700412304632	"S01"	0.462700412304632	"IS04"
"Lsp1"	"Lsp1"	-0.154728584480756	0.0586205279079667	-0.276553016825835	0.460451826206337	"S01"	0.460451826206337	"IS04"
"Vrk2"	"Vrk2"	-0.448094946728038	-0.0881989589854057	0.11984441132733	0.448155367005991	"S01"	0.448155367005991	"IS04"
"Gnb4"	"Gnb4"	0.226418023601385	0.0756091640763875	-0.638312985623726	0.425318123270659	"S01"	0.425318123270659	"IS04"
"Cytip"	"Cytip"	-0.374313631430571	-0.145068968644286	0.108132157047622	0.417517418765925	"S01"	0.417517418765925	"IS04"
"Eml5"	"Eml5"	-0.359835512573239	0.298333038948154	-0.183839533860157	0.41534493073767	"S01"	0.41534493073767	"IS04"
"Myo1g"	"Myo1g"	-0.210448123476054	-0.413333598975257	0.122401162081161	0.406867289227368	"S01"	0.406867289227368	"IS04"
"Gm13544"	"Gm13544"	-0.332026845821303	0.0950486487594274	-0.0726369669588274	0.402574545528485	"S01"	0.402574545528485	"IS04"
"Nedd4l"	"Nedd4l"	-0.789424106056352	0.330164090158101	0.255650323087097	0.380368027009674	"S01"	0.380368027009674	"IS04"
"Arhgap22"	"Arhgap22"	-0.320199974202704	0.116824307321999	-0.0642447068343885	0.362947316246092	"S01"	0.362947316246092	"IS04"
"Gm42477"	"Gm42477"	-0.451217820781585	0.274987085094468	-0.0282554066945498	0.357555347644499	"S01"	0.357555347644499	"IS04"
"Ctnna1"	"Ctnna1"	-0.391306209517935	0.166381097979356	-0.00799979801323904	0.343844195337505	"S01"	0.343844195337505	"IS04"
"Idi1"	"Idi1"	-0.334697928626567	0.207265481004976	-0.0889739451183739	0.342218510233009	"S01"	0.342218510233009	"IS04"
"Cd200"	"Cd200"	-0.195966438404744	0.223128710557971	-0.235140699934261	0.339230605293798	"S01"	0.339230605293798	"IS04"
"Gm17655"	"Gm17655"	-0.170018563786066	0.221015306855817	-0.258137518348534	0.337339567487366	"S01"	0.337339567487366	"IS04"
"Akap13"	"Akap13"	-0.552075973759517	0.114034349703453	0.197987280980574	0.329555302610422	"S01"	0.329555302610422	"IS04"
"Myo18a"	"Myo18a"	-0.319505863693163	-0.211645416466797	0.175562571564308	0.323764897463193	"S01"	0.323764897463193	"IS04"
"Pde4c"	"Pde4c"	-0.230034218753516	-0.190497087405255	0.0784512539573004	0.317127775109026	"S01"	0.317127775109026	"IS04"
"Lrrc34"	"Lrrc34"	-0.230117479697297	0.300427464516045	-0.230117479697297	0.316377512216175	"S01"	0.316377512216175	"IS04"
"Yes1"	"Yes1"	-0.266161229695758	0.107977233398711	-0.0453147051150706	0.284255411191753	"S01"	0.284255411191753	"IS04"
"Ezh2"	"Ezh2"	-0.287860472373048	-0.0354649974660244	0.072146713895316	0.277961867469599	"S01"	0.277961867469599	"IS04"
"Grk3"	"Grk3"	-0.27891785328274	0.0436082010525166	0.01608723108326	0.274807883192369	"S01"	0.274807883192369	"IS04"
"Gm15614"	"Gm15614"	-0.101266958542932	-0.0503868918766772	-0.102055919075084	0.274470996913457	"S01"	0.274470996913457	"IS04"
"Tap1"	"Tap1"	-0.347973288496093	-0.121720190109065	0.191996053472123	0.271664133618756	"S01"	0.271664133618756	"IS04"
"Sspo"	"Sspo"	-0.19358599292417	-0.483513881949744	0.266409174270782	0.270658240685712	"S01"	0.270658240685712	"IS04"
"Pgap6"	"Pgap6"	-0.175611375703136	0.0490776672549235	-0.0752786941191977	0.256842286074371	"S01"	0.256842286074371	"IS04"
"Nrbp1"	"Nrbp1"	-0.295490392344099	0.200565127907288	-0.0403555719909226	0.244599820202676	"S01"	0.244599820202676	"IS04"
