"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"Gpr132"	"Gpr132"	-0.189469952519128	0.297231059921929	-0.562124107549384	0.593936937324015	-0.229280331237264	0.425124228587196	0.188678803018755	-0.427068877361404	"S02"	0.593936937324015	"IS04"
"Tespa1"	"Tespa1"	-0.153517941607812	-0.249232161099069	-0.326920669286001	0.593647757455916	-0.0407247910332205	0.285128591025291	0.427832376413444	-0.470409617501524	"S02"	0.593647757455916	"IS04"
"Helz2"	"Helz2"	0.0742070333353205	-0.149455464975987	-0.0715561912789662	0.591644005650529	-0.0863312852715579	-0.00528168578356938	0.0183053115116336	-0.193907642466578	"S02"	0.591644005650529	"IS04"
"Gm36756"	"Gm36756"	-0.199929959458071	0.118062198435773	-0.0532307254588052	0.583332404701365	0.000393608840107373	0.129436236286269	-0.0497677148000627	-0.319819580928922	"S02"	0.583332404701365	"IS04"
"Slain1"	"Slain1"	-0.0579890672088275	0.208733495043226	-0.20472067608212	0.576045413990764	-0.21265397364544	0.527620480731716	-0.0840998160368668	-0.430338497955951	"S02"	0.576045413990764	"IS04"
"Eya2"	"Eya2"	-0.193225689203182	0.101261729202936	-0.552450093848832	0.575366018972673	0.173190086635811	0.0944147535516773	-0.134463139379172	-0.242115093616344	"S02"	0.575366018972673	"IS04"
"Itgb7"	"Itgb7"	0.263177844273384	0.138436749393464	-0.210863996837515	0.566925368422058	-0.193048915589914	0.314739582211711	-0.0629488356447411	-0.428876810317351	"S02"	0.566925368422058	"IS04"
"Srd5a1"	"Srd5a1"	0.141128081271662	-0.152860385778337	-0.145726901108682	0.55107129267159	-0.00897972352929949	-0.158398805552915	0.0614106998919003	-0.177715733059368	"S02"	0.55107129267159	"IS04"
"Mns1"	"Mns1"	-0.216167821327211	-0.0519857407150152	-0.208241667878546	0.542419883514996	-0.24214147427738	0.497484587712723	0.0496129715857885	-0.253953253510422	"S02"	0.542419883514996	"IS04"
"Pag1"	"Pag1"	0.223002756356761	0.190181247794392	0.261075847856786	0.540572620411646	0.102578750943617	-0.0755186153097808	0.0525515375100452	-0.637598338875176	"S02"	0.540572620411646	"IS04"
