"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"Tbxas1"	"Tbxas1"	0.0755757873976599	0.0821599408046574	0.733371224359807	0.267961608755394	-0.321435410232455	-0.754809556302105	0.0529549968127861	"S01"	0.733371224359807	"IS03"
"H2-DMb1"	"H2-DMb1"	-0.0343542089590127	-0.0519254809307969	0.73283898103595	-0.343937656387232	-0.464679999435861	-0.174244764705448	0.620914879175713	"S01"	0.73283898103595	"IS03"
"Gm15261"	"Gm15261"	0.42222905657444	-0.255632856257439	0.729707589818973	-0.278228868719194	-0.333654189746526	-0.352985179922292	0.0401719226975996	"S01"	0.729707589818973	"IS03"
"Gm41307"	"Gm41307"	-0.209503417491323	-0.106694700146842	0.72751426154018	-0.136276030295469	-0.222551604252638	-0.0825714503093779	0.216660288780912	"S01"	0.72751426154018	"IS03"
"Gda"	"Gda"	-0.736942667937662	0.394084347122448	0.727447428066107	0.450097177039989	0.0685705177835164	-0.623371191043473	0.066583792141791	"S01"	0.727447428066107	"IS03"
"Celf4"	"Celf4"	0.0280338185393085	-0.34782525875127	0.727321534382715	0.0733255615529078	-0.279855756623968	-0.362590147815868	0.117952640175169	"S01"	0.727321534382715	"IS03"
"Acer3"	"Acer3"	0.111246790635205	-0.0520996016382479	0.725114202496315	0.167706484752966	-0.434466303191478	-0.799376929661301	0.381494162056186	"S01"	0.725114202496315	"IS03"
"Clec4b1"	"Clec4b1"	0.0989792100374471	-0.328081472133227	0.724567987484291	-0.335237904841202	-0.237314387464071	-0.366672891762352	0.413639478742884	"S01"	0.724567987484291	"IS03"
"Dnah2"	"Dnah2"	-0.0970481731465518	-0.1610373702837	0.718309321763823	-0.103304373950538	-0.21033164393321	-0.162755608126069	0.123796752556947	"S01"	0.718309321763823	"IS03"
"Plxnd1"	"Plxnd1"	-0.427330019998768	-0.0996655254792908	0.717607548170341	-0.101619846824299	-0.227103727140171	-0.115260862793445	0.48886871327574	"S01"	0.717607548170341	"IS03"
